LCLid,StdorToU,DateTime,KWHhh,TimeOfDay
MAC000003,Std,2012-02-21T00:00:00,0.346,0:00:00
MAC000003,Std,2012-02-21T00:30:00,3.379,0:30:00
MAC000003,Std,2012-02-21T01:00:00,3.148,1:00:00
MAC000003,Std,2012-02-21T01:30:00,3.277,1:30:00
MAC000003,Std,2012-02-21T02:00:00,2.568,2:00:00
MAC000003,Std,2012-02-21T02:30:00,2.146,2:30:00
MAC000003,Std,2012-02-21T03:00:00,2.629,3:00:00
MAC000003,Std,2012-02-21T03:30:00,2.418,3:30:00
MAC000003,Std,2012-02-21T04:00:00,2.417,4:00:00
MAC000003,Std,2012-02-21T04:30:00,1.81,4:30:00
MAC000003,Std,2012-02-21T05:00:00,0.252,5:00:00
MAC000003,Std,2012-02-21T05:30:00,0.401,5:30:00
MAC000003,Std,2012-02-21T06:00:00,0.33,6:00:00
MAC000003,Std,2012-02-21T06:30:00,0.578,6:30:00
MAC000003,Std,2012-02-21T07:00:00,0.684,7:00:00
MAC000003,Std,2012-02-21T07:30:00,0.101,7:30:00
MAC000003,Std,2012-02-21T08:00:00,0.04,8:00:00
MAC000003,Std,2012-02-21T08:30:00,0.182,8:30:00
MAC000003,Std,2012-02-21T09:00:00,0.158,9:00:00
MAC000003,Std,2012-02-21T09:30:00,0.215,9:30:00
MAC000003,Std,2012-02-21T10:00:00,0.296,10:00:00
MAC000003,Std,2012-02-21T10:30:00,0.23,10:30:00
MAC000003,Std,2012-02-21T11:00:00,0.239,11:00:00
MAC000003,Std,2012-02-21T11:30:00,0.078,11:30:00
MAC000003,Std,2012-02-21T12:00:00,0.041,12:00:00
MAC000003,Std,2012-02-21T12:30:00,0.095,12:30:00
MAC000003,Std,2012-02-21T13:00:00,0.213,13:00:00
MAC000003,Std,2012-02-21T13:30:00,0.23,13:30:00
MAC000003,Std,2012-02-21T14:00:00,0.176,14:00:00
MAC000003,Std,2012-02-21T14:30:00,0.145,14:30:00
MAC000003,Std,2012-02-21T15:00:00,0.179,15:00:00
MAC000003,Std,2012-02-21T15:30:00,0.111,15:30:00
MAC000003,Std,2012-02-21T16:00:00,0.125,16:00:00
MAC000003,Std,2012-02-21T16:30:00,0.106,16:30:00
MAC000003,Std,2012-02-21T17:00:00,0.06,17:00:00
MAC000003,Std,2012-02-21T17:30:00,0.282,17:30:00
MAC000003,Std,2012-02-21T18:00:00,0.219,18:00:00
MAC000003,Std,2012-02-21T18:30:00,0.256,18:30:00
MAC000003,Std,2012-02-21T19:00:00,0.283,19:00:00
MAC000003,Std,2012-02-21T19:30:00,0.242,19:30:00
MAC000003,Std,2012-02-21T20:00:00,0.279,20:00:00
MAC000003,Std,2012-02-21T20:30:00,0.181,20:30:00
MAC000003,Std,2012-02-21T21:00:00,0.141,21:00:00
MAC000003,Std,2012-02-21T21:30:00,0.2,21:30:00
MAC000003,Std,2012-02-21T22:00:00,0.189,22:00:00
MAC000003,Std,2012-02-21T22:30:00,0.21,22:30:00
MAC000003,Std,2012-02-21T23:00:00,0.189,23:00:00
MAC000003,Std,2012-02-21T23:30:00,0.144,23:30:00
MAC000003,Std,2012-02-22T00:00:00,0.178,0:00:00
MAC000003,Std,2012-02-22T00:30:00,1.971,0:30:00
MAC000003,Std,2012-02-22T01:00:00,2.132,1:00:00
MAC000003,Std,2012-02-22T01:30:00,1.81,1:30:00
MAC000003,Std,2012-02-22T02:00:00,0.928,2:00:00
MAC000003,Std,2012-02-22T02:30:00,1.669,2:30:00
MAC000003,Std,2012-02-22T03:00:00,0.986,3:00:00
MAC000003,Std,2012-02-22T03:30:00,1.219,3:30:00
MAC000003,Std,2012-02-22T04:00:00,1.285,4:00:00
MAC000003,Std,2012-02-22T04:30:00,1.054,4:30:00
MAC000003,Std,2012-02-22T05:00:00,0.481,5:00:00
MAC000003,Std,2012-02-22T05:30:00,0.19,5:30:00
MAC000003,Std,2012-02-22T06:00:00,0.461,6:00:00
MAC000003,Std,2012-02-22T06:30:00,0.064,6:30:00
MAC000003,Std,2012-02-22T07:00:00,0.586,7:00:00
MAC000003,Std,2012-02-22T07:30:00,0.109,7:30:00
MAC000003,Std,2012-02-22T08:00:00,0.116,8:00:00
MAC000003,Std,2012-02-22T08:30:00,0.131,8:30:00
MAC000003,Std,2012-02-22T09:00:00,0.072,9:00:00
MAC000003,Std,2012-02-22T09:30:00,0.185,9:30:00
MAC000003,Std,2012-02-22T10:00:00,0.179,10:00:00
MAC000003,Std,2012-02-22T10:30:00,0.17,10:30:00
MAC000003,Std,2012-02-22T11:00:00,0.163,11:00:00
MAC000003,Std,2012-02-22T11:30:00,0.109,11:30:00
MAC000003,Std,2012-02-22T12:00:00,0.09,12:00:00
MAC000003,Std,2012-02-22T12:30:00,0.112,12:30:00
MAC000003,Std,2012-02-22T13:00:00,0.06,13:00:00
MAC000003,Std,2012-02-22T13:30:00,0.112,13:30:00
MAC000003,Std,2012-02-22T14:00:00,0.111,14:00:00
MAC000003,Std,2012-02-22T14:30:00,0.11,14:30:00
MAC000003,Std,2012-02-22T15:00:00,0.127,15:00:00
MAC000003,Std,2012-02-22T15:30:00,0.071,15:30:00
MAC000003,Std,2012-02-22T16:00:00,0.095,16:00:00
MAC000003,Std,2012-02-22T16:30:00,0.092,16:30:00
MAC000003,Std,2012-02-22T17:00:00,0.107,17:00:00
MAC000003,Std,2012-02-22T17:30:00,0.287,17:30:00
MAC000003,Std,2012-02-22T18:00:00,0.263,18:00:00
MAC000003,Std,2012-02-22T18:30:00,0.188,18:30:00
MAC000003,Std,2012-02-22T19:00:00,0.231,19:00:00
MAC000003,Std,2012-02-22T19:30:00,0.176,19:30:00
MAC000003,Std,2012-02-22T20:00:00,0.231,20:00:00
MAC000003,Std,2012-02-22T20:30:00,0.207,20:30:00
MAC000003,Std,2012-02-22T21:00:00,0.171,21:00:00
MAC000003,Std,2012-02-22T21:30:00,0.178,21:30:00
MAC000003,Std,2012-02-22T22:00:00,0.077,22:00:00
MAC000003,Std,2012-02-22T22:30:00,0.072,22:30:00
MAC000003,Std,2012-02-22T23:00:00,0.108,23:00:00
MAC000003,Std,2012-02-22T23:30:00,0.085,23:30:00
MAC000003,Std,2012-02-23T00:00:00,0.12,0:00:00
MAC000003,Std,2012-02-23T00:30:00,1.991,0:30:00
MAC000003,Std,2012-02-23T01:00:00,1.978,1:00:00
MAC000003,Std,2012-02-23T01:30:00,1.717,1:30:00
MAC000003,Std,2012-02-23T02:00:00,0.824,2:00:00
MAC000003,Std,2012-02-23T02:30:00,1.157,2:30:00
MAC000003,Std,2012-02-23T03:00:00,0.942,3:00:00
MAC000003,Std,2012-02-23T03:30:00,0.965,3:30:00
MAC000003,Std,2012-02-23T04:00:00,1.276,4:00:00
MAC000003,Std,2012-02-23T04:30:00,0.594,4:30:00
MAC000003,Std,2012-02-23T05:00:00,0.23,5:00:00
MAC000003,Std,2012-02-23T05:30:00,0.709,5:30:00
MAC000003,Std,2012-02-23T06:00:00,0.146,6:00:00
MAC000003,Std,2012-02-23T06:30:00,0.187,6:30:00
MAC000003,Std,2012-02-23T07:00:00,0.847,7:00:00
MAC000003,Std,2012-02-23T07:30:00,0.122,7:30:00
MAC000003,Std,2012-02-23T08:00:00,0.106,8:00:00
MAC000003,Std,2012-02-23T08:30:00,0.091,8:30:00
MAC000003,Std,2012-02-23T09:00:00,0.307,9:00:00
MAC000003,Std,2012-02-23T09:30:00,0.289,9:30:00
MAC000003,Std,2012-02-23T10:00:00,0.239,10:00:00
MAC000003,Std,2012-02-23T10:30:00,0.341,10:30:00
MAC000003,Std,2012-02-23T11:00:00,0.235,11:00:00
MAC000003,Std,2012-02-23T11:30:00,0.188,11:30:00
MAC000003,Std,2012-02-23T12:00:00,0.131,12:00:00
MAC000003,Std,2012-02-23T12:30:00,0.207,12:30:00
MAC000003,Std,2012-02-23T13:00:00,0.284,13:00:00
MAC000003,Std,2012-02-23T13:30:00,0.707,13:30:00
MAC000003,Std,2012-02-23T14:00:00,0.762,14:00:00
MAC000003,Std,2012-02-23T14:30:00,0.283,14:30:00
MAC000003,Std,2012-02-23T15:00:00,0.133,15:00:00
MAC000003,Std,2012-02-23T15:30:00,0.126,15:30:00
MAC000003,Std,2012-02-23T16:00:00,0.077,16:00:00
MAC000003,Std,2012-02-23T16:30:00,0.124,16:30:00
MAC000003,Std,2012-02-23T17:00:00,0.257,17:00:00
MAC000003,Std,2012-02-23T17:30:00,0.253,17:30:00
MAC000003,Std,2012-02-23T18:00:00,0.265,18:00:00
MAC000003,Std,2012-02-23T18:30:00,0.696,18:30:00
MAC000003,Std,2012-02-23T19:00:00,0.194,19:00:00
MAC000003,Std,2012-02-23T19:30:00,0.263,19:30:00
MAC000003,Std,2012-02-23T20:00:00,0.176,20:00:00
MAC000003,Std,2012-02-23T20:30:00,0.195,20:30:00
MAC000003,Std,2012-02-23T21:00:00,0.179,21:00:00
MAC000003,Std,2012-02-23T21:30:00,0.145,21:30:00
MAC000003,Std,2012-02-23T22:00:00,0.174,22:00:00
MAC000003,Std,2012-02-23T22:30:00,0.179,22:30:00
MAC000003,Std,2012-02-23T23:00:00,0.135,23:00:00
MAC000003,Std,2012-02-23T23:30:00,0.148,23:30:00
MAC000003,Std,2012-02-24T00:00:00,0.079,0:00:00
MAC000003,Std,2012-02-24T00:30:00,0.765,0:30:00
MAC000003,Std,2012-02-24T01:00:00,0.814,1:00:00
MAC000003,Std,2012-02-24T01:30:00,0.807,1:30:00
MAC000003,Std,2012-02-24T02:00:00,0.899,2:00:00
MAC000003,Std,2012-02-24T02:30:00,0.935,2:30:00
MAC000003,Std,2012-02-24T03:00:00,0.906,3:00:00
MAC000003,Std,2012-02-24T03:30:00,0.928,3:30:00
MAC000003,Std,2012-02-24T04:00:00,0.883,4:00:00
MAC000003,Std,2012-02-24T04:30:00,0.416,4:30:00
MAC000003,Std,2012-02-24T05:00:00,0.13,5:00:00
MAC000003,Std,2012-02-24T05:30:00,0.115,5:30:00
MAC000003,Std,2012-02-24T06:00:00,0.612,6:00:00
MAC000003,Std,2012-02-24T06:30:00,0.088,6:30:00
MAC000003,Std,2012-02-24T07:00:00,0.373,7:00:00
MAC000003,Std,2012-02-24T07:30:00,0.188,7:30:00
MAC000003,Std,2012-02-24T08:00:00,0.186,8:00:00
MAC000003,Std,2012-02-24T08:30:00,0.341,8:30:00
MAC000003,Std,2012-02-24T09:00:00,0.259,9:00:00
MAC000003,Std,2012-02-24T09:30:00,0.231,9:30:00
MAC000003,Std,2012-02-24T10:00:00,0.254,10:00:00
MAC000003,Std,2012-02-24T10:30:00,0.281,10:30:00
MAC000003,Std,2012-02-24T11:00:00,0.358,11:00:00
MAC000003,Std,2012-02-24T11:30:00,0.327,11:30:00
MAC000003,Std,2012-02-24T12:00:00,0.255,12:00:00
MAC000003,Std,2012-02-24T12:30:00,0.159,12:30:00
MAC000003,Std,2012-02-24T13:00:00,0.121,13:00:00
MAC000003,Std,2012-02-24T13:30:00,0.229,13:30:00
MAC000003,Std,2012-02-24T14:00:00,0.229,14:00:00
MAC000003,Std,2012-02-24T14:30:00,0.176,14:30:00
MAC000003,Std,2012-02-24T15:00:00,0.158,15:00:00
MAC000003,Std,2012-02-24T15:30:00,0.078,15:30:00
MAC000003,Std,2012-02-24T16:00:00,0.096,16:00:00
MAC000003,Std,2012-02-24T16:30:00,0.071,16:30:00
MAC000003,Std,2012-02-24T17:00:00,0.068,17:00:00
MAC000003,Std,2012-02-24T17:30:00,0.143,17:30:00
MAC000003,Std,2012-02-24T18:00:00,0.151,18:00:00
MAC000003,Std,2012-02-24T18:30:00,0.156,18:30:00
MAC000003,Std,2012-02-24T19:00:00,0.29,19:00:00
MAC000003,Std,2012-02-24T19:30:00,0.71,19:30:00
MAC000003,Std,2012-02-24T20:00:00,0.181,20:00:00
MAC000003,Std,2012-02-24T20:30:00,0.554,20:30:00
MAC000003,Std,2012-02-24T21:00:00,0.18,21:00:00
MAC000003,Std,2012-02-24T21:30:00,0.205,21:30:00
MAC000003,Std,2012-02-24T22:00:00,0.137,22:00:00
MAC000003,Std,2012-02-24T22:30:00,0.153,22:30:00
MAC000003,Std,2012-02-24T23:00:00,0.083,23:00:00
MAC000003,Std,2012-02-24T23:30:00,0.059,23:30:00
MAC000003,Std,2012-02-25T00:00:00,0.139,0:00:00
MAC000003,Std,2012-02-25T00:30:00,0.767,0:30:00
MAC000003,Std,2012-02-25T01:00:00,0.744,1:00:00
MAC000003,Std,2012-02-25T01:30:00,0.78,1:30:00
MAC000003,Std,2012-02-25T02:00:00,0.768,2:00:00
MAC000003,Std,2012-02-25T02:30:00,0.842,2:30:00
MAC000003,Std,2012-02-25T03:00:00,0.902,3:00:00
MAC000003,Std,2012-02-25T03:30:00,0.895,3:30:00
MAC000003,Std,2012-02-25T04:00:00,0.912,4:00:00
MAC000003,Std,2012-02-25T04:30:00,0.861,4:30:00
MAC000003,Std,2012-02-25T05:00:00,0.845,5:00:00
MAC000003,Std,2012-02-25T05:30:00,0.869,5:30:00
MAC000003,Std,2012-02-25T06:00:00,0.2,6:00:00
MAC000003,Std,2012-02-25T06:30:00,0.433,6:30:00
MAC000003,Std,2012-02-25T07:00:00,0.384,7:00:00
MAC000003,Std,2012-02-25T07:30:00,0.234,7:30:00
MAC000003,Std,2012-02-25T08:00:00,0.239,8:00:00
MAC000003,Std,2012-02-25T08:30:00,0.282,8:30:00
MAC000003,Std,2012-02-25T09:00:00,0.235,9:00:00
MAC000003,Std,2012-02-25T09:30:00,0.106,9:30:00
MAC000003,Std,2012-02-25T10:00:00,0.075,10:00:00
MAC000003,Std,2012-02-25T10:30:00,0.073,10:30:00
MAC000003,Std,2012-02-25T11:00:00,0.047,11:00:00
MAC000003,Std,2012-02-25T11:30:00,0.125,11:30:00
MAC000003,Std,2012-02-25T12:00:00,0.274,12:00:00
MAC000003,Std,2012-02-25T12:30:00,0.318,12:30:00
MAC000003,Std,2012-02-25T13:00:00,0.206,13:00:00
MAC000003,Std,2012-02-25T13:30:00,0.177,13:30:00
MAC000003,Std,2012-02-25T14:00:00,0.179,14:00:00
MAC000003,Std,2012-02-25T14:30:00,0.221,14:30:00
MAC000003,Std,2012-02-25T15:00:00,0.145,15:00:00
MAC000003,Std,2012-02-25T15:30:00,0.125,15:30:00
MAC000003,Std,2012-02-25T16:00:00,0.151,16:00:00
MAC000003,Std,2012-02-25T16:30:00,0.114,16:30:00
MAC000003,Std,2012-02-25T17:00:00,0.101,17:00:00
MAC000003,Std,2012-02-25T17:30:00,0.125,17:30:00
MAC000003,Std,2012-02-25T18:00:00,0.213,18:00:00
MAC000003,Std,2012-02-25T18:30:00,0.163,18:30:00
MAC000003,Std,2012-02-25T19:00:00,0.148,19:00:00
MAC000003,Std,2012-02-25T19:30:00,0.156,19:30:00
MAC000003,Std,2012-02-25T20:00:00,0.129,20:00:00
MAC000003,Std,2012-02-25T20:30:00,0.146,20:30:00
MAC000003,Std,2012-02-25T21:00:00,0.142,21:00:00
MAC000003,Std,2012-02-25T21:30:00,0.148,21:30:00
MAC000003,Std,2012-02-25T22:00:00,0.164,22:00:00
MAC000003,Std,2012-02-25T22:30:00,0.08,22:30:00
MAC000003,Std,2012-02-25T23:00:00,0.107,23:00:00
MAC000003,Std,2012-02-25T23:30:00,0.145,23:30:00
MAC000003,Std,2012-02-26T00:00:00,0.083,0:00:00
MAC000003,Std,2012-02-26T00:30:00,0.806,0:30:00
MAC000003,Std,2012-02-26T01:00:00,0.81,1:00:00
MAC000003,Std,2012-02-26T01:30:00,0.817,1:30:00
MAC000003,Std,2012-02-26T02:00:00,0.846,2:00:00
MAC000003,Std,2012-02-26T02:30:00,0.834,2:30:00
MAC000003,Std,2012-02-26T03:00:00,0.879,3:00:00
MAC000003,Std,2012-02-26T03:30:00,0.943,3:30:00
MAC000003,Std,2012-02-26T04:00:00,0.917,4:00:00
MAC000003,Std,2012-02-26T04:30:00,0.932,4:30:00
MAC000003,Std,2012-02-26T05:00:00,0.927,5:00:00
MAC000003,Std,2012-02-26T05:30:00,0.875,5:30:00
MAC000003,Std,2012-02-26T06:00:00,0.88,6:00:00
MAC000003,Std,2012-02-26T06:30:00,0.303,6:30:00
MAC000003,Std,2012-02-26T07:00:00,0.585,7:00:00
MAC000003,Std,2012-02-26T07:30:00,0.149,7:30:00
MAC000003,Std,2012-02-26T08:00:00,0.122,8:00:00
MAC000003,Std,2012-02-26T08:30:00,0.202,8:30:00
MAC000003,Std,2012-02-26T09:00:00,0.315,9:00:00
MAC000003,Std,2012-02-26T09:30:00,0.239,9:30:00
MAC000003,Std,2012-02-26T10:00:00,0.284,10:00:00
MAC000003,Std,2012-02-26T10:30:00,0.226,10:30:00
MAC000003,Std,2012-02-26T11:00:00,0.206,11:00:00
MAC000003,Std,2012-02-26T11:30:00,0.162,11:30:00
MAC000003,Std,2012-02-26T12:00:00,0.102,12:00:00
MAC000003,Std,2012-02-26T12:30:00,0.084,12:30:00
MAC000003,Std,2012-02-26T13:00:00,0.156,13:00:00
MAC000003,Std,2012-02-26T13:30:00,0.675,13:30:00
MAC000003,Std,2012-02-26T14:00:00,0.872,14:00:00
MAC000003,Std,2012-02-26T14:30:00,0.247,14:30:00
MAC000003,Std,2012-02-26T15:00:00,0.215,15:00:00
MAC000003,Std,2012-02-26T15:30:00,0.203,15:30:00
MAC000003,Std,2012-02-26T16:00:00,0.084,16:00:00
MAC000003,Std,2012-02-26T16:30:00,0.112,16:30:00
MAC000003,Std,2012-02-26T17:00:00,0.078,17:00:00
MAC000003,Std,2012-02-26T17:30:00,0.162,17:30:00
MAC000003,Std,2012-02-26T18:00:00,0.203,18:00:00
MAC000003,Std,2012-02-26T18:30:00,0.107,18:30:00
MAC000003,Std,2012-02-26T19:00:00,0.1,19:00:00
MAC000003,Std,2012-02-26T19:30:00,0.107,19:30:00
MAC000003,Std,2012-02-26T20:00:00,0.118,20:00:00
MAC000003,Std,2012-02-26T20:30:00,0.202,20:30:00
MAC000003,Std,2012-02-26T21:00:00,0.25,21:00:00
MAC000003,Std,2012-02-26T21:30:00,0.195,21:30:00
MAC000003,Std,2012-02-26T22:00:00,0.201,22:00:00
MAC000003,Std,2012-02-26T22:30:00,0.24,22:30:00
MAC000003,Std,2012-02-26T23:00:00,0.171,23:00:00
MAC000003,Std,2012-02-26T23:30:00,0.147,23:30:00
MAC000003,Std,2012-02-27T00:00:00,0.166,0:00:00
MAC000003,Std,2012-02-27T00:30:00,1.348,0:30:00
MAC000003,Std,2012-02-27T01:00:00,1.35,1:00:00
MAC000003,Std,2012-02-27T01:30:00,1.404,1:30:00
MAC000003,Std,2012-02-27T02:00:00,1.4,2:00:00
MAC000003,Std,2012-02-27T02:30:00,1.421,2:30:00
MAC000003,Std,2012-02-27T03:00:00,1.563,3:00:00
MAC000003,Std,2012-02-27T03:30:00,1.305,3:30:00
MAC000003,Std,2012-02-27T04:00:00,0.114,4:00:00
MAC000003,Std,2012-02-27T04:30:00,0.113,4:30:00
MAC000003,Std,2012-02-27T05:00:00,0.463,5:00:00
MAC000003,Std,2012-02-27T05:30:00,0.108,5:30:00
MAC000003,Std,2012-02-27T06:00:00,0.122,6:00:00
MAC000003,Std,2012-02-27T06:30:00,0.42,6:30:00
MAC000003,Std,2012-02-27T07:00:00,0.665,7:00:00
MAC000003,Std,2012-02-27T07:30:00,0.234,7:30:00
MAC000003,Std,2012-02-27T08:00:00,0.214,8:00:00
MAC000003,Std,2012-02-27T08:30:00,0.313,8:30:00
MAC000003,Std,2012-02-27T09:00:00,0.194,9:00:00
MAC000003,Std,2012-02-27T09:30:00,0.29,9:30:00
MAC000003,Std,2012-02-27T10:00:00,0.275,10:00:00
MAC000003,Std,2012-02-27T10:30:00,0.271,10:30:00
MAC000003,Std,2012-02-27T11:00:00,0.252,11:00:00
MAC000003,Std,2012-02-27T11:30:00,0.234,11:30:00
MAC000003,Std,2012-02-27T12:00:00,0.208,12:00:00
MAC000003,Std,2012-02-27T12:30:00,0.275,12:30:00
MAC000003,Std,2012-02-27T13:00:00,0.456,13:00:00
MAC000003,Std,2012-02-27T13:30:00,0.198,13:30:00
MAC000003,Std,2012-02-27T14:00:00,0.205,14:00:00
MAC000003,Std,2012-02-27T14:30:00,0.157,14:30:00
MAC000003,Std,2012-02-27T15:00:00,0.174,15:00:00
