Index,LCLid,StdorToU,DateTime,KWHhh,TimeOfDay
0,MAC000003,Std,2012-02-21T00:00:00,0.346000,00:00:00
1,MAC000003,Std,2012-02-21T00:30:00,3.379000,00:30:00
2,MAC000003,Std,2012-02-21T01:00:00,3.148000,01:00:00
3,MAC000003,Std,2012-02-21T01:30:00,3.277000,01:30:00
4,MAC000003,Std,2012-02-21T02:00:00,2.568000,02:00:00
5,MAC000003,Std,2012-02-21T02:30:00,2.146000,02:30:00
6,MAC000003,Std,2012-02-21T03:00:00,2.629000,03:00:00
7,MAC000003,Std,2012-02-21T03:30:00,2.418000,03:30:00
8,MAC000003,Std,2012-02-21T04:00:00,2.417000,04:00:00
9,MAC000003,Std,2012-02-21T04:30:00,1.810000,04:30:00
10,MAC000003,Std,2012-02-21T05:00:00,0.252000,05:00:00
11,MAC000003,Std,2012-02-21T05:30:00,0.401000,05:30:00
12,MAC000003,Std,2012-02-21T06:00:00,0.330000,06:00:00
13,MAC000003,Std,2012-02-21T06:30:00,0.578000,06:30:00
14,MAC000003,Std,2012-02-21T07:00:00,0.684000,07:00:00
15,MAC000003,Std,2012-02-21T07:30:00,0.101000,07:30:00
16,MAC000003,Std,2012-02-21T08:00:00,0.040000,08:00:00
17,MAC000003,Std,2012-02-21T08:30:00,0.182000,08:30:00
18,MAC000003,Std,2012-02-21T09:00:00,0.158000,09:00:00
19,MAC000003,Std,2012-02-21T09:30:00,0.215000,09:30:00
20,MAC000003,Std,2012-02-21T10:00:00,0.296000,10:00:00
21,MAC000003,Std,2012-02-21T10:30:00,0.230000,10:30:00
22,MAC000003,Std,2012-02-21T11:00:00,0.239000,11:00:00
23,MAC000003,Std,2012-02-21T11:30:00,0.078000,11:30:00
24,MAC000003,Std,2012-02-21T12:00:00,0.041000,12:00:00
25,MAC000003,Std,2012-02-21T12:30:00,0.095000,12:30:00
26,MAC000003,Std,2012-02-21T13:00:00,0.213000,13:00:00
27,MAC000003,Std,2012-02-21T13:30:00,0.230000,13:30:00
28,MAC000003,Std,2012-02-21T14:00:00,0.176000,14:00:00
29,MAC000003,Std,2012-02-21T14:30:00,0.145000,14:30:00
30,MAC000003,Std,2012-02-21T15:00:00,0.179000,15:00:00
31,MAC000003,Std,2012-02-21T15:30:00,0.111000,15:30:00
32,MAC000003,Std,2012-02-21T16:00:00,0.125000,16:00:00
33,MAC000003,Std,2012-02-21T16:30:00,0.106000,16:30:00
34,MAC000003,Std,2012-02-21T17:00:00,0.060000,17:00:00
35,MAC000003,Std,2012-02-21T17:30:00,0.282000,17:30:00
36,MAC000003,Std,2012-02-21T18:00:00,0.219000,18:00:00
37,MAC000003,Std,2012-02-21T18:30:00,0.256000,18:30:00
38,MAC000003,Std,2012-02-21T19:00:00,0.283000,19:00:00
39,MAC000003,Std,2012-02-21T19:30:00,0.242000,19:30:00
40,MAC000003,Std,2012-02-21T20:00:00,0.279000,20:00:00
41,MAC000003,Std,2012-02-21T20:30:00,0.181000,20:30:00
