RealtimeClockDateandTime,METERSNO,METERSNO.1,NormalPhaseCurrent,NeutralCurrent,Voltage,AvgPhaseCurrent,AvgNeutralCurrent,AvgVoltage,Signedpowerfactor,Frequency,CumulativeEnergykWh,CumulativeEnergykVAh,BlockEnergykWh,BlockEnergykVAh,MDkW,MDkVA,SystemPowerFactor,Latitude,Longitude,NormalPhaseCurrent_filtered,NeutralCurrent_filtered,Voltage_filtered,AvgPhaseCurrent_filtered,AvgNeutralCurrent_filtered,AvgVoltage_filtered,Signedpowerfactor_filtered,Frequency_filtered,CumulativeEnergykWh_filtered,CumulativeEnergykVAh_filtered,BlockEnergykWh_filtered,BlockEnergykVAh_filtered,MDkW_filtered,MDkVA_filtered,SystemPowerFactor_filtered,Latitude_filtered,Longitude_filtered,hour,dayofweek,month,is_weekend,Voltage_filtered_lag1,Voltage_filtered_lag2,Frequency_filtered_lag1,Frequency_filtered_lag2,AvgVoltage_filtered_lag1,AvgVoltage_filtered_lag2,Voltage_filtered_roll_mean_3,Voltage_filtered_roll_std_3,Frequency_filtered_roll_mean_3,Frequency_filtered_roll_std_3,NormalPhaseCurrent_scaled,NeutralCurrent_scaled,Voltage_scaled,AvgPhaseCurrent_scaled,AvgNeutralCurrent_scaled,AvgVoltage_scaled,Signedpowerfactor_scaled,Frequency_scaled,CumulativeEnergykWh_scaled,CumulativeEnergykVAh_scaled,BlockEnergykWh_scaled,BlockEnergykVAh_scaled,MDkW_scaled,MDkVA_scaled,SystemPowerFactor_scaled,Latitude_scaled,Longitude_scaled
2022-02-25 11:00:00,A06415,A06415,0.41,0.41,230.2,0.54,0.54,231.8,0.99,50.03,135.33,165.1,0.06,0.07,0.4,0.44,0.93,17.532,78.447,0.41,0.41,230.2,0.54,0.54,231.8,0.99,50.03,135.33,165.1,0.06,0.07,0.4,0.44,0.93,17.532,78.447,11,4,2,0,230.2,230.2,50.03,50.03,231.8,231.8,232.86666666666665,3.0550504633038926,50.01,0.02645751311064769,-0.23349604699567397,-0.22683521936576728,-1.602494985000797,0.017556903114534943,0.04750409724942332,-1.373828809589369,0.738334116981172,0.5565247999810196,-0.790975600255723,-0.8179794960592194,0.023380400655275028,0.08204814165316525,-0.5028856925921397,-0.47815432115755624,0.25810893384677536,0.0,-0.8468664599674127
2022-02-25 11:30:00,A00703,A00703,0.12,0.12,236.2,1.18,1.17,235.8,0.5,49.98,3515.99,4200.32,0.13,0.14,1.02,1.04,0.93,17.532,78.448,0.12,0.12,236.2,1.18,1.17,235.8,0.8300000000000001,49.98,3515.99,4200.32,0.13,0.14,1.02,1.04,0.93,17.532,78.448,11,4,2,0,230.2,230.2,50.03,50.03,231.8,231.8,232.86666666666665,3.0550504633038926,50.01,0.02645751311064769,-0.8492581041407935,-0.8777311191744077,-0.7730920729227251,1.4037092344470057,1.5020753385936756,-0.8140047507512349,-0.6563012165823989,-0.17968621704186855,1.0144527071198988,0.9279568545074471,1.3642604753951404,1.3340550071789676,0.6911182705665054,0.6322746863858986,0.25810893384677536,0.0,0.859892311877766
2022-02-25 12:00:00,A00006,A00006,0.48,0.48,232.2,0.45,0.45,232.3,0.67,50.02,1177056.38,1177277.54,0.04,0.05,0.02,0.16,0.8,17.533,78.447,0.48,0.48,232.2,0.45,0.45,232.3,0.67,50.02,2974.0899999999997,3548.023333333333,0.04,0.05,0.02,0.16,0.8,17.532,78.447,12,4,2,0,236.2,230.2,49.98,50.03,235.8,231.8,232.86666666666665,3.0550504633038926,50.01,0.02645751311064769,-0.08486382630547268,-0.06972241596368163,-1.3260273476414397,-0.17737076847909383,-0.16029179437118424,-1.3038508022346023,-2.050936550145971,0.40928259657648375,0.7250531224923853,0.6457247923926674,-0.35972819212754353,-0.2756681056399212,-1.234694573237761,-0.996354524677835,-0.9312279871492661,0.0,-0.8468664599674127
2022-02-25 12:30:00,A00710,A00710,0.0,0.0,238.7,0.0,0.0,238.4,1.0,50.0,2520554.91,2520824.09,0.0,0.0,1.36,1.46,1.0,17.532,78.448,0.0,0.0,238.7,0.0,0.0,238.4,1.0,50.0,2432.1899999999996,2895.7266666666665,0.0,0.0,1.36,1.46,1.0,17.532,78.448,12,4,2,0,232.2,236.2,50.02,49.98,232.3,235.8,235.69999999999996,3.2787192621510024,50.0,0.020000000000000906,-1.104056196752567,-1.147067353577983,-0.4275075262235285,-1.1520091264472374,-1.1992712524742217,-0.4501191125064485,0.8254988253288954,0.11479818976730762,0.4356535378648718,0.3634927302778877,-1.1259453776931807,-1.1699587238726372,1.3458946374599563,1.4095749916663167,0.8985211220754126,0.0,0.859892311877766
2022-02-25 13:00:00,A00006,A00006,0.43,0.43,237.1,0.42,0.42,234.8,0.62,50.04,1177056.43,1177277.65,0.03,0.05,0.02,0.16,0.6,17.533,78.447,0.43,0.43,237.1,0.42,0.42,234.8,0.62,50.04,1890.29,2243.43,0.03,0.05,0.02,0.16,0.6,17.532,78.447,13,4,2,0,238.7,232.2,50.0,50.02,238.4,232.3,236.0,3.386738844375222,50.02,0.01999999999999469,-0.191029698227045,-0.18194584696517133,-0.6486816361110135,-0.24234665901030347,-0.22955709157805348,-0.9539607654607684,-2.4867600918845874,0.7037670033855553,0.1462539532373586,0.08126066816310801,-0.5512824885189529,-0.2756681056399212,-1.234694573237761,-0.996354524677835,-2.7609770963739457,0.0,-0.8468664599674127
2022-02-25 13:30:00,A00710,A00710,0.0,0.0,244.3,0.0,0.0,243.1,1.0,50.1,2520554.91,2520824.09,0.0,0.0,1.36,1.46,1.0,17.532,78.448,0.0,0.0,244.3,0.0,0.0,243.1,1.0,50.1,1348.3899999999999,1591.1333333333332,0.0,0.0,1.36,1.46,1.0,17.532,78.448,13,4,2,0,237.1,238.7,50.04,50.0,234.8,238.4,240.03333333333333,3.7806525010020873,50.04666666666666,0.0503322295684696,-1.104056196752567,-1.147067353577983,0.34660185838267504,-1.1520091264472374,-1.1992712524742217,0.20767415662835753,0.8254988253288954,1.5872202238129791,-0.14314563139015482,-0.20097139395167168,-1.1259453776931807,-1.1699587238726372,1.3458946374599563,1.4095749916663167,0.8985211220754126,0.0,0.859892311877766
2022-02-25 14:00:00,A00006,A00006,0.38,0.38,240.1,0.4,0.4,240.8,0.57,50.03,1177056.49,1177277.75,0.03,0.05,0.02,0.16,0.6,17.533,78.447,0.38,0.38,240.1,0.4,0.4,240.8,0.57,50.03,806.4899999999998,938.8366666666666,0.03,0.05,0.02,0.16,0.6,17.532,78.447,14,4,2,0,244.3,237.1,50.1,50.04,243.1,234.8,240.5,3.616628264005024,50.05666666666667,0.03785938897199797,-0.2971955701486173,-0.29416927796666104,-0.2339801800719776,-0.2856639193644431,-0.2757339563826328,-0.1142246772035672,-2.922583633623204,0.5565247999810196,-0.43254521601766827,-0.4832034560664514,-0.5512824885189529,-0.2756681056399212,-1.234694573237761,-0.996354524677835,-2.7609770963739457,0.0,-0.8468664599674127
2022-02-25 14:30:00,A00707,A00707,0.0,0.0,238.3,0.0,0.0,238.9,1.0,49.97,264.59,286.54,0.0,0.0,0.0,0.0,1.0,17.532,78.448,0.0,0.0,238.3,0.0,0.0,238.9,1.0,49.97,264.59,286.54,0.0,0.0,0.0,0.0,1.0,17.532,78.448,14,4,2,0,240.1,244.3,50.03,50.1,240.8,243.1,240.9,3.0789608636681223,50.03333333333334,0.0650640709864745,-1.104056196752567,-1.147067353577983,-0.48280105369539683,-1.1520091264472374,-1.1992712524742217,-0.3801411051516817,0.8254988253288954,-0.3269284204464043,-0.7219448006451816,-0.7654355181812311,-1.1259453776931807,-1.1699587238726372,-1.2732108301138463,-1.292468926689423,0.8985211220754126,0.0,0.859892311877766
2022-02-25 15:00:00,A00703,A00703,0.79,0.78,240.2,0.79,0.79,239.6,0.94,50.08,3516.38,4200.79,0.08,0.1,1.02,1.04,0.8,17.532,78.448,0.79,0.78,240.2,0.79,0.79,239.6,0.94,50.08,3516.38,4200.79,0.08,0.1,1.02,1.04,0.8,17.532,78.448,15,4,2,0,238.3,240.1,49.97,50.03,238.9,240.8,239.53333333333333,1.0692676621563117,50.026666666666664,0.05507570547285603,0.5733645796082759,0.6036181700452569,-0.22015679820401052,0.5590226575412814,0.6247149073066663,-0.2821718948550098,0.30251057524255553,1.292735817003803,1.014660985101085,0.9281602114705785,0.4064889934380937,0.6186225125927948,0.6911182705665054,0.6322746863858986,-0.9312279871492661,0.0,0.859892311877766
2022-02-25 15:30:00,A00703,A00703,0.77,0.76,237.7,0.77,0.77,238.2,0.95,50.05,3516.46,4200.88,0.08,0.09,1.02,1.04,0.89,17.532,78.448,0.77,0.76,237.7,0.77,0.77,238.2,0.95,50.05,3516.46,4200.88,0.08,0.09,1.02,1.04,0.89,17.532,78.448,15,4,2,0,240.2,238.3,50.08,49.97,239.6,238.9,238.73333333333335,1.3051181300300874,50.03333333333333,0.0568624070307693,0.5308982308396469,0.558728797644661,-0.5657413449032072,0.5157053971871416,0.578538042502087,-0.4781103154483576,0.3896752835902788,0.8510092067900911,1.0147037087895334,0.9281991521656462,0.4064889934380937,0.43976438894625147,0.6911182705665054,0.6322746863858986,-0.10784088799816081,0.0,0.859892311877766
2022-02-25 16:00:00,A06415,A06415,0.83,0.83,235.6,0.61,0.61,237.3,0.76,49.96,135.8,165.77,0.06,0.07,0.4,0.44,0.77,17.532,78.447,0.83,0.83,235.6,0.61,0.61,237.3,0.76,49.96,135.8,165.77,0.06,0.07,0.4,0.44,0.77,17.532,78.447,16,4,2,0,237.7,240.2,50.05,50.08,238.2,239.6,237.83333333333334,2.302896726588758,50.03,0.062449979983976535,0.6582972771455337,0.7158416010467464,-0.8560323641305315,0.16916731435402385,0.20912312406545128,-0.6040707286869346,-1.2664541750164622,-0.47417062385094005,-0.7907245985860885,-0.81768960421816,0.023380400655275028,0.08204814165316525,-0.5028856925921397,-0.47815432115755624,-1.2056903535329682,0.0,-0.8468664599674127
2022-02-25 16:30:00,A00028,A00028,0.32,0.32,240.4,0.31,0.31,242.4,0.98,50.03,2480.95,2851.51,0.04,0.03,0.1,0.1,1.0,17.532,78.448,0.32,0.32,240.4,0.31,0.31,242.4,0.98,50.03,2480.95,2851.51,0.04,0.03,0.1,0.1,1.0,17.532,78.448,16,4,2,0,235.6,237.7,49.96,50.05,237.3,238.2,237.9,2.4062418831031813,50.01333333333333,0.04725815626251074,-0.4245946164545041,-0.4288373951684487,-0.19251003446807244,-0.48059159095807186,-0.4835298480032404,0.10970494633168565,0.6511694086334487,0.5565247999810196,0.46169362597418645,0.3443613110159337,-0.35972819212754353,-0.6333843529330077,-1.0806295457334196,-1.1073974254321806,0.8985211220754126,0.0,0.859892311877766
2022-02-25 17:00:00,A00028,A00028,0.32,0.32,243.8,0.31,0.31,240.9,0.98,50.11,2480.98,2851.55,0.03,0.04,0.1,0.1,0.75,17.532,78.448,0.32,0.32,243.8,0.31,0.31,240.9,0.98,50.11,2480.98,2851.55,0.03,0.04,0.1,0.1,0.75,17.532,78.448,17,4,2,0,240.4,235.6,50.03,49.96,242.4,237.3,239.9333333333333,4.119870548128116,50.03333333333333,0.07505553499464565,-0.4245946164545041,-0.4288373951684487,0.2774849490428357,-0.48059159095807186,-0.4835298480032404,-0.10022907573261464,0.6511694086334487,1.7344624272175149,0.46170964735735476,0.3443786179915193,-0.5512824885189529,-0.45452622928646447,-1.0806295457334196,-1.1073974254321806,-1.3886652644554363,0.0,0.859892311877766
2022-02-25 17:30:00,A00006,A00006,0.0,0.0,242.7,0.0,0.0,242.2,1.0,50.0,1177056.54,1177277.85,0.0,0.0,0.02,0.16,1.0,17.533,78.447,0.0,0.0,242.7,0.0,0.0,242.2,1.0,50.0,2481.0150000000003,2851.59,0.0,0.0,0.02,0.16,1.0,17.532,78.447,17,4,2,0,243.8,240.4,50.11,50.03,240.9,242.4,242.29999999999998,1.7349351572898224,50.04666666666666,0.05686240703077029,-1.104056196752567,-1.147067353577983,0.12542774849518606,-1.1520091264472374,-1.1992712524742217,0.08171374338977656,0.8254988253288954,0.11479818976730762,0.4617283389710511,0.3443959249671049,-1.1259453776931807,-1.1699587238726372,-1.234694573237761,-0.996354524677835,0.8985211220754126,0.0,-0.8468664599674127
2022-02-25 18:00:00,A00028,A00028,0.32,0.32,252.7,0.32,0.32,250.2,0.99,50.2,2481.05,2851.63,0.03,0.04,0.1,0.1,0.75,17.532,78.448,0.32,0.32,252.7,0.32,0.32,250.2,0.99,50.015,2481.05,2851.63,0.03,0.04,0.1,0.1,0.75,17.532,78.448,18,4,2,0,242.7,243.8,50.0,50.11,242.2,240.9,246.4,5.4836119483421175,50.041666666666664,0.059651767227241484,-0.4245946164545041,-0.4288373951684487,1.5077659352919726,-0.458932960781002,-0.46044141560095064,1.2013618610660448,0.738334116981172,0.3356614948741636,0.4617470305847472,0.3444132319426906,-0.5512824885189529,-0.45452622928646447,-1.0806295457334196,-1.1073974254321806,-1.3886652644554363,0.0,0.859892311877766
2022-02-25 18:30:00,A00705,A00705,0.32,0.31,245.2,0.3,0.3,247.6,0.99,50.03,1886.11,1983.41,0.03,0.04,0.56,0.64,0.75,17.532,78.448,0.32,0.31,245.2,0.3,0.3,247.6,0.99,50.03,1886.11,1983.41,0.03,0.04,0.56,0.64,0.75,17.532,78.448,18,4,2,0,252.7,242.7,50.015,50.0,250.2,242.2,246.86666666666665,5.204164998665383,50.01500000000001,0.0149999999999836,-0.4245946164545041,-0.4512820813687467,0.4710122951943827,-0.5022502211351417,-0.5066182804055301,0.8374762228212584,0.738334116981172,0.5565247999810196,0.14402164051592842,-0.031243326631313167,-0.5512824885189529,-0.45452622928646447,-0.194755637583457,-0.10801131864307129,-1.3886652644554363,0.0,0.859892311877766
2022-02-25 19:00:00,A00003,A00003,0.26,0.26,252.9,0.19,0.18,251.4,0.52,50.01,444.12,655.2,0.02,0.02,1.58,1.8,1.0,17.532,78.446,0.26,0.26,252.9,0.19,0.18,251.4,0.79,50.01,444.12,655.2,0.02,0.02,1.58,1.8,1.0,17.532,78.446,19,4,2,0,245.2,252.7,50.03,50.015,247.6,250.2,250.26666666666665,4.389001405027567,50.01833333333334,0.010408329997311817,-0.5519936627603909,-0.5635055123702364,1.5354126990279107,-0.7404951530829101,-0.7836794692330068,1.3693090787174875,-1.0049600499732922,0.26204039317184336,-0.6260675033058617,-0.6059257776962247,-0.7428367849103622,-0.8122424765795507,1.7695734630968947,2.038818095940941,0.8985211220754126,0.0,-2.553625231836846
2022-02-25 19:30:00,A00705,A00705,0.06,0.05,247.7,0.3,0.3,247.9,0.59,50.06,1886.17,1983.48,0.03,0.04,0.56,0.64,0.75,17.532,78.448,0.06,0.05,247.7,0.3,0.3,247.9,0.59,50.06,1886.17,1983.48,0.03,0.04,0.56,0.64,0.75,17.532,78.448,19,4,2,0,252.9,245.2,50.01,50.03,251.4,247.6,248.6,3.928103868280549,50.03333333333333,0.02516611478423165,-0.9766571504466802,-1.0348439225764934,0.8165968418935793,-0.5022502211351417,-0.5066182804055301,0.8794630272341201,-2.7482542169277573,0.9982514101947314,0.1440536832822648,-0.031213039424038334,-0.5512824885189529,-0.45452622928646447,-0.194755637583457,-0.10801131864307129,-1.3886652644554363,0.0,0.859892311877766
2022-02-25 20:00:00,A00705,A00705,0.34,0.34,252.2,0.25,0.25,250.3,0.99,50.05,1886.2,1983.52,0.03,0.04,0.56,0.64,0.75,17.532,78.448,0.34,0.34,252.2,0.25,0.25,250.3,0.99,50.05,1886.2,1983.52,0.03,0.04,0.56,0.64,0.75,17.532,78.448,20,4,2,0,247.7,252.9,50.06,50.01,247.9,251.4,250.9333333333333,2.821937868439676,50.04,0.026457513110641987,-0.3821282676858751,-0.3839480227678528,1.4386490259521332,-0.610543372020491,-0.6220604424169788,1.2153574625370014,0.738334116981172,0.8510092067900911,0.14406970466543298,-0.031195732448452716,-0.5512824885189529,-0.45452622928646447,-0.194755637583457,-0.10801131864307129,-1.3886652644554363,0.0,0.859892311877766
2022-02-25 20:30:00,A00705,A00705,0.05,0.05,253.2,0.26,0.26,251.9,0.97,49.91,1886.24,1983.55,0.04,0.03,0.56,0.64,1.0,17.532,78.448,0.05,0.05,253.2,0.26,0.26,251.9,0.97,49.91,1886.24,1983.55,0.04,0.03,0.56,0.64,1.0,17.532,78.448,20,4,2,0,252.2,247.7,50.05,50.06,250.3,247.9,251.03333333333333,2.929732638541242,50.00666666666666,0.0838649708360621,-0.9978903248309947,-1.0348439225764934,1.5768828446318117,-0.5888847418434211,-0.598972010014689,1.4392870860722542,0.5640047002857255,-1.2103816408738282,0.14409106650965717,-0.0311827522167635,-0.35972819212754353,-0.6333843529330077,-0.194755637583457,-0.10801131864307129,0.8985211220754126,0.0,0.859892311877766
2022-02-25 21:00:00,A00705,A00705,0.33,0.33,253.0,0.18,0.18,251.7,1.0,49.91,1886.26,1983.57,0.02,0.02,0.56,0.64,1.0,17.532,78.448,0.33,0.33,253.0,0.18,0.18,251.7,1.0,49.91,1886.26,1983.57,0.02,0.02,0.56,0.64,1.0,17.532,78.448,21,4,2,0,253.2,252.2,49.91,50.05,251.9,250.3,252.79999999999998,0.5291502622133664,49.95666666666667,0.08082903768655156,-0.4033614420701896,-0.4063927089681508,1.5492360808958776,-0.7621537832599801,-0.7836794692330068,1.411295883130345,0.8254988253288954,-1.2103816408738282,0.14410174743176926,-0.03117409872897069,-0.7428367849103622,-0.8122424765795507,-0.194755637583457,-0.10801131864307129,0.8985211220754126,0.0,0.859892311877766
2022-02-25 21:30:00,A00701,A00701,0.14,0.14,254.1,0.42,0.42,249.1,0.76,50.05,4853.84,6188.66,0.08,0.11,1.22,1.34,0.73,17.532,78.448,0.14,0.14,254.1,0.42,0.42,249.1,0.76,50.05,4853.84,6188.66,0.08,0.11,1.22,1.34,0.73,17.532,78.448,21,4,2,0,253.0,253.2,49.91,49.91,251.7,251.9,253.4333333333333,0.5859465277086605,49.95666666666667,0.08082903768655156,-0.8067917553721645,-0.8328417467738117,1.7012932814435233,-0.24234665901030347,-0.22955709157805348,1.0474102448855587,-1.2664541750164622,0.8510092067900911,1.7289262895039528,1.7882606504059921,0.4064889934380937,0.797480636239338,1.0762808393273586,1.1874891901576259,-1.5716401753779043,0.0,0.859892311877766
2022-02-25 22:00:00,A00013,A00013,1.08,1.08,254.4,0.86,0.86,254.1,0.92,50.05,5206385.91,5206397.59,0.09,0.11,0.0,0.0,0.82,17.532,78.447,1.08,1.08,254.4,0.86,0.86,254.1,0.92,50.05,4853.865,6188.7,0.09,0.11,0.0,0.0,0.82,17.532,78.447,22,4,2,0,254.1,253.0,50.05,49.91,249.1,251.7,253.83333333333334,0.7371114795835616,50.00333333333333,0.08082903768654644,1.1891266367533955,1.2769587560541953,1.7427634270474286,0.7106330687807703,0.7863339341226944,1.7471903184332265,0.12818115854710985,0.8510092067900911,1.7289396406565927,1.7882779573815775,0.5980432898295029,0.797480636239338,-1.2732108301138463,-1.292468926689423,-0.748253076226799,0.0,-0.8468664599674127
